t,T1Tx,T1Ty,T1Tz,T1Rx,T1Ry,T1Rz,T1Error,T2Tx,T2Ty,T2Tz,T2Rx,T2Ry,T2Rz,T2Error,T3Tx,T3Ty,T3Tz,T3Rx,T3Ry,T3Rz,T3Error,T4Tx,T4Ty,T4Tz,T4Rx,T4Ry,T4Rz,T4Error,T5Tx,T5Ty,T5Tz,T5Rx,T5Ry,T5Rz,T5Error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¶ZÂ÷,³t²v,±×²v
0,0.3244971,-0.08398873,-6.948207,0.000948101,0.7239516,-0.007149931,0,-0.6249643,-0.07051986,-6.863598,0.002078384,0.722118,0.02274408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.122,0.041
0.12,0.3247993,-0.08369255,-6.947817,0.001147121,0.7239609,-0.007120633,0,-0.6250643,-0.07037657,-6.86382,0.002271891,0.7221537,0.02269506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.394,0.31
0.2363067,0.3250979,-0.08345479,-6.947789,0.001197219,0.7240342,-0.007089932,0,-0.6250353,-0.07041234,-6.863754,0.002258062,0.7221504,0.02279069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3363067,0.3250381,-0.08375388,-6.947811,0.001083106,0.72396,-0.006986537,0,-0.6250448,-0.07054365,-6.863554,0.00221172,0.7221206,0.02276893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4005295,0.3249294,-0.08357275,-6.947908,0.001202077,0.7239697,-0.00701291,0,-0.6250468,-0.07045871,-6.863493,0.002184719,0.7221401,0.02269196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5224111,0.3251531,-0.08339876,-6.947832,0.00117901,0.724003,-0.007120988,0,-0.6250507,-0.07046682,-6.863405,0.002190828,0.7221812,0.02264593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6026637,0.3251589,-0.08351952,-6.947946,0.001158148,0.7240116,-0.007111766,0,-0.6249064,-0.07046223,-6.863317,0.002134562,0.722116,0.02264576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7061979,0.3249059,-0.08351326,-6.947598,0.001226008,0.7240483,-0.007165949,0,-0.6247152,-0.070445,-6.863241,0.002121657,0.7221284,0.02264668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8034804,0.324915,-0.083408,-6.94768,0.001166433,0.7240139,-0.007167718,0,-0.6247931,-0.07042682,-6.863255,0.002059251,0.7221818,0.02251342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9115808,0.324935,-0.08364964,-6.947565,0.001250029,0.7240372,-0.007280376,0,-0.6247833,-0.07044512,-6.862996,0.00200665,0.7223074,0.02253525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.000433,0.3250121,-0.08381796,-6.947678,0.00119096,0.7240593,-0.007170273,0,-0.62502,-0.07092863,-6.863394,0.002024621,0.7222469,0.02266843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.112038,0.324885,-0.08324385,-6.947529,0.001206666,0.7240983,-0.007252087,0,-0.6252832,-0.07082808,-6.863484,0.001916736,0.7222533,0.02275101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.200172,0.3249024,-0.08340156,-6.947515,0.001200795,0.7239696,-0.00722567,0,-0.6249262,-0.07056767,-6.863268,0.002113044,0.722288,0.02271416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.305822,0.3250593,-0.08370984,-6.947692,0.001048505,0.7238536,-0.007254417,0,-0.624855,-0.0711326,-6.86362,0.002182931,0.722213,0.02277569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.411187,0.3248593,-0.08374053,-6.947661,0.001002789,0.7238235,-0.007229622,0,-0.6247842,-0.0708918,-6.863728,0.002219766,0.7221398,0.02281986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.500988,0.3250586,-0.08347535,-6.947843,0.001094937,0.7237939,-0.007215744,0,-0.6248122,-0.07041013,-6.863553,0.002092659,0.7220913,0.02278615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.602489,0.3249876,-0.08353454,-6.947939,0.00118801,0.7238539,-0.007160756,0,-0.6247624,-0.07104653,-6.863408,0.002053231,0.7221518,0.02288258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.703076,0.3250562,-0.0834356,-6.947915,0.001179993,0.7239,-0.007056671,0,-0.6247605,-0.0704326,-6.863249,0.002137095,0.722124,0.02264342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.810688,0.3251144,-0.08362281,-6.947609,0.001069099,0.723857,-0.007169596,0,-0.624663,-0.07056075,-6.86365,0.002033025,0.7220099,0.02266096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.911497,0.3250191,-0.08358574,-6.947751,0.001149386,0.7238855,-0.00706857,0,-0.6250013,-0.07075471,-6.864251,0.001994222,0.7218708,0.0227495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.013009,0.3249578,-0.08341968,-6.947689,0.001048982,0.7238919,-0.007137457,0,-0.6249326,-0.07018977,-6.863759,0.002299666,0.7218568,0.02281554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.100115,0.3251809,-0.0834592,-6.947718,0.001132071,0.723998,-0.007103971,0,-0.6248609,-0.06972253,-6.863742,0.002161682,0.721846,0.02282835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.210966,0.3251014,-0.0837701,-6.947767,0.00108555,0.7239903,-0.007059712,0,-0.6249014,-0.07071471,-6.863927,0.002186865,0.721796,0.02277715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.321834,0.3251376,-0.08333027,-6.947664,0.001073629,0.7240367,-0.007178965,0,-0.6246815,-0.07077473,-6.863749,0.002115697,0.7218593,0.02270458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.41045,0.3250653,-0.08301604,-6.947756,0.001080155,0.7240064,-0.007286047,0,-0.6244217,-0.0708645,-6.863775,0.002134115,0.7218494,0.02270255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.505782,0.3250697,-0.08279079,-6.948124,0.001098633,0.7240158,-0.007193273,0,-0.6240867,-0.07092124,-6.863937,0.002148181,0.7217864,0.02276793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.608615,0.3249093,-0.08297706,-6.948029,0.001146346,0.7240016,-0.007051956,0,-0.6247217,-0.07047659,-6.86383,0.002096623,0.7218443,0.02281284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.705969,0.3248022,-0.08274406,-6.947925,0.001119047,0.724011,-0.007084421,0,-0.6246814,-0.07072115,-6.863778,0.002003312,0.7218597,0.02281307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.810432,0.3250277,-0.08335602,-6.947551,0.001175463,0.7240088,-0.007185127,0,-0.6247178,-0.07087183,-6.863801,0.002049685,0.7218349,0.02281668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.910512,0.3249437,-0.08339065,-6.947837,0.001123905,0.7238766,-0.007293273,0,-0.6246042,-0.07038862,-6.864004,0.00209561,0.7218826,0.02270034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.001266,0.3249637,-0.083601,-6.947788,0.001225233,0.7239255,-0.00719164,0,-0.6244087,-0.07025439,-6.863934,0.002000928,0.7219301,0.02280566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.110708,0.3250146,-0.08361393,-6.947486,0.001058549,0.7238969,-0.007188437,0,-0.6244151,-0.07000321,-6.863805,0.002075076,0.7218556,0.02306847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.221827,0.3248162,-0.08336782,-6.94763,0.001038164,0.7238895,-0.007201935,0,-0.6247167,-0.07075739,-6.863704,0.002056688,0.7219726,0.02290198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.311055,0.3249173,-0.08324999,-6.947508,0.001071632,0.7238688,-0.007373553,0,-0.6246357,-0.07067323,-6.863672,0.002042979,0.7219849,0.02286608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.400755,0.3246806,-0.08355862,-6.947316,0.000999987,0.7238635,-0.007432862,0,-0.62458,-0.07069772,-6.863626,0.002149314,0.7219914,0.0228637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.508347,0.3247672,-0.08327186,-6.947689,0.001053363,0.7238499,-0.007461487,0,-0.6251313,-0.0702883,-6.864013,0.002315909,0.7220334,0.02285827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.600714,0.3252255,-0.08318102,-6.947672,0.000988722,0.7238711,-0.007332393,0,-0.6248983,-0.07057029,-6.863942,0.002321124,0.722018,0.02279224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.701553,0.3253501,-0.08301049,-6.947731,0.001057655,0.7238964,-0.007360039,0,-0.6247814,-0.07048756,-6.863543,0.002342165,0.7220702,0.02284891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
